"#","Fecha","PM25","PM10","TEMP","dia","Mes","Prom"
"2","30-10-2019","3","3","32.8","30","10","12.933333333333"
"3","30-10-2019","3","6","32.6","30","10","13.866666666667"
"4","30-10-2019","3","3","32.9","30","10","12.966666666667"
"5","30-10-2019","5","5","32.8","30","10","14.266666666667"
"6","30-10-2019","6","7","32.6","30","10","15.2"
"7","30-10-2019","7","7","32.5","30","10","15.5"
"8","30-10-2019","5","6","32.3","30","10","14.433333333333"
"9","30-10-2019","5","5","32","30","10","14"
"10","30-10-2019","3","3","31.8","30","10","12.6"
"11","30-10-2019","6","6","31.6","30","10","14.533333333333"
"12","30-10-2019","4","4","31","30","10","13"
"13","30-10-2019","4","5","30.6","30","10","13.2"
"14","30-10-2019","5","5","30.4","30","10","13.466666666667"
"15","30-10-2019","6","8","29.9","30","10","14.633333333333"
"23","30-10-2019","9","9","28.3","30","10","15.433333333333"
"24","30-10-2019","9","9","28.1","30","10","15.366666666667"
"25","30-10-2019","8","9","28.3","30","10","15.1"
"26","30-10-2019","6","7","28.3","30","10","13.766666666667"
"27","30-10-2019","5","6","28.1","30","10","13.033333333333"
"28","30-10-2019","9","9","28.1","30","10","15.366666666667"
"29","30-10-2019","9","9","28.1","30","10","15.366666666667"
"30","30-10-2019","15","16","27.8","30","10","19.6"
"31","30-10-2019","19","20","27.7","30","10","22.233333333333"
"32","30-10-2019","15","15","27.2","30","10","19.066666666667"
"33","30-10-2019","20","20","27.4","30","10","22.466666666667"
"34","30-10-2019","20","20","27.5","30","10","22.5"
"35","30-10-2019","16","17","26.8","30","10","19.933333333333"
"36","30-10-2019","16","16","27.1","30","10","19.7"
"37","30-10-2019","25","26","27.1","30","10","26.033333333333"
"38","30-10-2019","24","25","27.2","30","10","25.4"
"39","30-10-2019","26","27","26.9","30","10","26.633333333333"
"40","30-10-2019","30","31","26.8","30","10","29.266666666667"
"41","30-10-2019","30","32","26.9","30","10","29.633333333333"
"42","30-10-2019","21","22","27","30","10","23.333333333333"
"43","30-10-2019","24","25","26.9","30","10","25.3"
"44","30-10-2019","24","27","26.8","30","10","25.933333333333"
"45","30-10-2019","18","21","26.8","30","10","21.933333333333"
"46","30-10-2019","30","31","26.8","30","10","29.266666666667"
"47","30-10-2019","22","22","26.8","30","10","23.6"
"48","30-10-2019","14","14","26.1","30","10","18.033333333333"
"49","30-10-2019","13","13","26","30","10","17.333333333333"
"50","30-10-2019","13","13","26.4","30","10","17.466666666667"
"51","30-10-2019","13","13","26.4","30","10","17.466666666667"
"52","31-10-2019","16","16","26.4","31","10","19.466666666667"
"53","31-10-2019","12","12","26.4","31","10","16.8"
"54","31-10-2019","8","10","26.1","31","10","14.7"
"55","31-10-2019","4","4","26.2","31","10","11.4"
"56","31-10-2019","3","3","24.8","31","10","10.266666666667"
"57","31-10-2019","2","2","25.6","31","10","9.8666666666667"
"58","31-10-2019","2","3","24.6","31","10","9.8666666666667"
"59","31-10-2019","2","2","24.6","31","10","9.5333333333333"
"60","31-10-2019","2","2","24.6","31","10","9.5333333333333"
"61","31-10-2019","1","1","24","31","10","8.6666666666667"
"62","31-10-2019","2","2","24","31","10","9.3333333333333"
"63","31-10-2019","0","0","24.1","31","10","8.0333333333333"
"65","31-10-2019","3","3","23.1","31","10","9.7"
"66","31-10-2019","13","13","23.4","31","10","16.466666666667"
"67","31-10-2019","2","3","23.4","31","10","9.4666666666667"
"68","31-10-2019","2","2","23.7","31","10","9.2333333333333"
"69","31-10-2019","4","4","23.6","31","10","10.533333333333"
"70","31-10-2019","3","3","23.3","31","10","9.7666666666667"
"71","31-10-2019","3","3","23.8","31","10","9.9333333333333"
"72","31-10-2019","3","3","23.3","31","10","9.7666666666667"
"73","31-10-2019","7","7","23.4","31","10","12.466666666667"
"74","31-10-2019","5","5","23.5","31","10","11.166666666667"
"75","31-10-2019","3","3","23.6","31","10","9.8666666666667"
"76","31-10-2019","7","7","23.8","31","10","12.6"
"77","31-10-2019","6","6","23.7","31","10","11.9"
"78","31-10-2019","10","10","23.6","31","10","14.533333333333"
"79","31-10-2019","11","11","23.9","31","10","15.3"
"80","31-10-2019","8","9","23.9","31","10","13.633333333333"
"81","31-10-2019","16","16","23.6","31","10","18.533333333333"
"82","31-10-2019","9","9","23.4","31","10","13.8"
"83","31-10-2019","19","19","23.6","31","10","20.533333333333"
"84","31-10-2019","9","9","23.5","31","10","13.833333333333"
"85","31-10-2019","8","8","23.7","31","10","13.233333333333"
"86","31-10-2019","14","14","23.6","31","10","17.2"
"87","31-10-2019","16.5","17","22.85","31","10","18.783333333333"
"88","31-10-2019","9","9","23.8","31","10","13.933333333333"
"89","31-10-2019","13","13","23.8","31","10","16.6"
"90","31-10-2019","14","15","24.1","31","10","17.7"
"91","31-10-2019","9","10","24.4","31","10","14.466666666667"
"92","31-10-2019","15","17","24.4","31","10","18.8"
"93","31-10-2019","15","16","24.7","31","10","18.566666666667"
"94","31-10-2019","8","8","25.1","31","10","13.7"
"95","31-10-2019","7","11","25.7","31","10","14.566666666667"
"96","31-10-2019","6","6","26.2","31","10","12.733333333333"
"97","31-10-2019","11","11","26.2","31","10","16.066666666667"
"98","31-10-2019","7","8","27.1","31","10","14.033333333333"
"99","31-10-2019","7","7","26.9","31","10","13.633333333333"
"100","31-10-2019","5","5","27.1","31","10","12.366666666667"
"101","31-10-2019","6","6","27.9","31","10","13.3"
"102","31-10-2019","8","8","28.4","31","10","14.8"
"103","31-10-2019","8","9","28.5","31","10","15.166666666667"
"104","31-10-2019","8","8","28.8","31","10","14.933333333333"
"105","31-10-2019","12","14","29.1","31","10","18.366666666667"
"106","31-10-2019","7","7","29.7","31","10","14.566666666667"
"107","31-10-2019","6","7","30.3","31","10","14.433333333333"
"108","31-10-2019","11","11","26.55","31","10","16.183333333333"
"109","31-10-2019","15","15","30.5","31","10","20.166666666667"
"110","31-10-2019","7","7","30.6","31","10","14.866666666667"
"111","31-10-2019","8","8","31.7","31","10","15.9"
"112","31-10-2019","5","5","31.6","31","10","13.866666666667"
"113","31-10-2019","4","4","31.5","31","10","13.166666666667"
"114","31-10-2019","3","3","31.9","31","10","12.633333333333"
"115","31-10-2019","5","5","32.8","31","10","14.266666666667"
"116","31-10-2019","4","4","33.1","31","10","13.7"
"117","31-10-2019","5","5","33","31","10","14.333333333333"
"118","31-10-2019","3","3","33.6","31","10","13.2"
"119","31-10-2019","3","3","33.8","31","10","13.266666666667"
"120","31-10-2019","2","2","33.8","31","10","12.6"
"121","31-10-2019","3","3","33.8","31","10","13.266666666667"
"122","31-10-2019","3","3","33.8","31","10","13.266666666667"
"123","31-10-2019","3","3","33.5","31","10","13.166666666667"
"124","31-10-2019","2","2","33.7","31","10","12.566666666667"
"125","31-10-2019","2","3","33.1","31","10","12.7"
"126","31-10-2019","3","6","33.2","31","10","14.066666666667"
"127","31-10-2019","2","3","33","31","10","12.666666666667"
"128","31-10-2019","2","5","32.6","31","10","13.2"
"129","31-10-2019","4","4","32.4","31","10","13.466666666667"
"130","31-10-2019","2","2","32","31","10","12"
"131","31-10-2019","4","5","31.5","31","10","13.5"
"132","31-10-2019","6","6","31.8","31","10","14.6"
"133","31-10-2019","7","7","29.7","31","10","14.566666666667"
"134","31-10-2019","6","6","27.6","31","10","13.2"
"135","31-10-2019","6","6","27.5","31","10","13.166666666667"
"136","31-10-2019","40","48","28.3","31","10","38.766666666667"
"137","31-10-2019","17.5","21.5","25.3","31","10","21.433333333333"
"138","31-10-2019","8","8","27.2","31","10","14.4"
"139","31-10-2019","7","7","27.1","31","10","13.7"
"140","31-10-2019","20","20","26.6","31","10","22.2"
"141","31-10-2019","7","7","26.9","31","10","13.633333333333"
"142","31-10-2019","8","8","26.6","31","10","14.2"
"143","31-10-2019","36","41","26.4","31","10","34.466666666667"
"144","31-10-2019","11","12","26.6","31","10","16.533333333333"
"145","31-10-2019","10","12","26.2","31","10","16.066666666667"
"146","31-10-2019","11","12","26.6","31","10","16.533333333333"
"147","31-10-2019","9","9","26.1","31","10","14.7"
"148","31-10-2019","6","6","26","31","10","12.666666666667"
"149","31-10-2019","20","20","26","31","10","22"
"150","31-10-2019","12","14","26.1","31","10","17.366666666667"
"151","31-10-2019","7","7","25.9","31","10","13.3"
"152","31-10-2019","8","9","25.7","31","10","14.233333333333"
"153","31-10-2019","5","5","26.1","31","10","12.033333333333"
"154","31-10-2019","5","5","25.8","31","10","11.933333333333"
"155","31-10-2019","7","7","26.1","31","10","13.366666666667"
"156","31-10-2019","6","6","25.6","31","10","12.533333333333"
"157","31-10-2019","9","10","25.8","31","10","14.933333333333"
"158","31-10-2019","11","11.5","23.6","31","10","15.366666666667"
"159","31-10-2019","5","5","26.1","31","10","12.033333333333"
"160","31-10-2019","6","6","26.2","31","10","12.733333333333"
"161","31-10-2019","3","3","26.2","31","10","10.733333333333"
"162","31-10-2019","3","3","26.3","31","10","10.766666666667"
"163","31-10-2019","4","4","26.1","31","10","11.366666666667"
"164","31-10-2019","4","4","26.3","31","10","11.433333333333"
"165","31-10-2019","3","4","26.2","31","10","11.066666666667"
"166","31-10-2019","2","2","26.1","31","10","10.033333333333"
"167","31-10-2019","1","1","25.9","31","10","9.3"
"168","31-10-2019","1","1","26.1","31","10","9.3666666666667"
"169","31-10-2019","1","1","25.9","31","10","9.3"
"170","31-10-2019","1","1","25.9","31","10","9.3"
"171","31-10-2019","2","2","25.4","31","10","9.8"
"172","31-10-2019","1","1","25.6","31","10","9.2"
"173","31-10-2019","2","2","25.7","31","10","9.9"
"174","01-11-2019","4","5","25.5","01","11","11.5"
"175","01-11-2019","6","7","25.1","01","11","12.7"
"176","01-11-2019","29","30","25","01","11","28"
"177","01-11-2019","5","5","24.9","01","11","11.633333333333"
"178","01-11-2019","5","5","24.9","01","11","11.633333333333"
"179","01-11-2019","4","5","24.6","01","11","11.2"
"180","01-11-2019","3","3","24.3","01","11","10.1"
"181","01-11-2019","3","3","24.4","01","11","10.133333333333"
"182","01-11-2019","3","3","24.6","01","11","10.2"
"183","01-11-2019","3","3","24.6","01","11","10.2"
"184","01-11-2019","3","3","24.6","01","11","10.2"
"185","01-11-2019","2","2","24.8","01","11","9.6"
"186","01-11-2019","4","5","25.3","01","11","11.433333333333"
"187","01-11-2019","4","4","25.1","01","11","11.033333333333"
"188","01-11-2019","4","5","24.9","01","11","11.3"
"189","01-11-2019","5","5","24.9","01","11","11.633333333333"
"190","01-11-2019","7","8","24.9","01","11","13.3"
"191","01-11-2019","4","4","24.9","01","11","10.966666666667"
"192","01-11-2019","4","4","24.8","01","11","10.933333333333"
"193","01-11-2019","4","4","24.8","01","11","10.933333333333"
"194","01-11-2019","6","6","24.8","01","11","12.266666666667"
"195","01-11-2019","11.5","11.5","22.45","01","11","15.15"
"196","01-11-2019","4","4","24.8","01","11","10.933333333333"
"197","01-11-2019","6","6","24.7","01","11","12.233333333333"
"198","01-11-2019","4","5","24.6","01","11","11.2"
"199","01-11-2019","5","5","24.6","01","11","11.533333333333"
"200","01-11-2019","5","5","24.6","01","11","11.533333333333"
"201","01-11-2019","4","4","24.7","01","11","10.9"
"202","01-11-2019","8","8","24.6","01","11","13.533333333333"
"203","01-11-2019","5","5","24.5","01","11","11.5"
"204","01-11-2019","6","6","24.5","01","11","12.166666666667"
"205","01-11-2019","8","8","24.5","01","11","13.5"
"206","01-11-2019","8","8","24.4","01","11","13.466666666667"
"207","01-11-2019","8","8","24.3","01","11","13.433333333333"
"208","01-11-2019","17","17","24.4","01","11","19.466666666667"
"209","01-11-2019","13","13","24.3","01","11","16.766666666667"
"210","01-11-2019","20","21","24.2","01","11","21.733333333333"
"211","01-11-2019","19","19","24.4","01","11","20.8"
"212","01-11-2019","12","12","24.3","01","11","16.1"
"213","01-11-2019","28","29","24.4","01","11","27.133333333333"
"214","01-11-2019","10.5","10.5","23.15","01","11","14.716666666667"
"215","01-11-2019","18","18","25.6","01","11","20.533333333333"
"216","01-11-2019","10","10","26","01","11","15.333333333333"
"217","01-11-2019","9","9","26.4","01","11","14.8"
"218","01-11-2019","7","7","26.3","01","11","13.433333333333"
"219","01-11-2019","7","7","26.7","01","11","13.566666666667"
"220","01-11-2019","12","12","27.1","01","11","17.033333333333"
"221","01-11-2019","11","11","27.1","01","11","16.366666666667"
"222","01-11-2019","11","11","27.5","01","11","16.5"
"223","01-11-2019","8","8","27.9","01","11","14.633333333333"
"224","01-11-2019","9","9","28.3","01","11","15.433333333333"
"225","01-11-2019","8","8","28.8","01","11","14.933333333333"
"226","01-11-2019","8","8","29.1","01","11","15.033333333333"
"227","01-11-2019","7","7","29.6","01","11","14.533333333333"
"228","01-11-2019","11","11","29.8","01","11","17.266666666667"
"229","01-11-2019","5","5","29.9","01","11","13.3"
"230","01-11-2019","7","8","29.8","01","11","14.933333333333"
"231","01-11-2019","6","7","30.3","01","11","14.433333333333"
"232","01-11-2019","8","8","30.2","01","11","15.4"
"233","01-11-2019","6","6","30.9","01","11","14.3"
"234","01-11-2019","7","7","31.3","01","11","15.1"
"235","01-11-2019","6","6","30.7","01","11","14.233333333333"
